partType,name,image,url,type,space
storage,Netac NV3000 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (NT01NV3000-250-E4X),https://m.media-amazon.com/images/I/410VxUXY36L.jpg,https://pcpartpicker.com/product/cV7scf/netac-nv3000-250-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-nt01nv3000-250-e4x,NVME,250
storage,Seagate FireCuda 510 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (ZP250GM3A001),https://cdna.pcpartpicker.com/static/forever/images/product/161b36c9d21c312171430137cf8fae9f.256p.jpg,https://pcpartpicker.com/product/BkqPxr/seagate-firecuda-510-250-gb-m2-2280-nvme-solid-state-drive-zp250gm3a001,NVME,250
storage,Lexar NM610 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (LNM610-250RBNA),https://m.media-amazon.com/images/I/41ubICQ9i9L.jpg,https://pcpartpicker.com/product/F3jNnQ/lexar-nm610-250-gb-m2-2280-nvme-solid-state-drive-lnm610-250rbna,NVME,250
storage,Kingston KC2000 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (SKC2000M8/250G),https://cdna.pcpartpicker.com/static/forever/images/product/820a5fc34269d4a88c72b95251b60308.256p.jpg,https://pcpartpicker.com/product/79GnTW/kingston-kc2000-250-gb-m2-2280-nvme-solid-state-drive-skc2000m8250g,NVME,250
storage,Kingston KC2500 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (SKC2500M8/250G),https://cdna.pcpartpicker.com/static/forever/images/product/ed1833a9b97c823be379e874df2e4e8c.256p.jpg,https://pcpartpicker.com/product/MpsnTW/kingston-kc2500-250-gb-m2-2280-nvme-solid-state-drive-skc2500m8250g,NVME,250
storage,Crucial MX200 250 GB M.2-2260 SATA Solid State Drive (CT250MX200SSD6),https://cdna.pcpartpicker.com/static/forever/images/product/44d696ac412566154328aa5c4fcfd6b0.256p.jpg,https://pcpartpicker.com/product/X4DzK8/crucial-internal-hard-drive-ct250mx200ssd6,NVME,250
storage,Integral M2 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (INSSD250GM280NM2),https://cdna.pcpartpicker.com/static/forever/images/product/e095354f77af383cb470853e1c86e871.256p.jpg,https://pcpartpicker.com/product/rHBzK8/integral-m2-250-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-inssd250gm280nm2,NVME,250
storage,Western Digital Black SN750 Rev2 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDBRPG2500ANC-WRSN),https://cdna.pcpartpicker.com/static/forever/images/product/9fe187bf1c1498c9635f3f9dc27b319d.256p.jpg,https://pcpartpicker.com/product/XbxRsY/western-digital-wd_black-sn750-rev2-250-gb-m2-2280-nvme-solid-state-drive-wdbrpg2500anc-wrsn,NVME,250
storage,Seagate FireCuda 510 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (ZP250CM3A001),https://cdna.pcpartpicker.com/static/forever/images/product/807f972fa748821c508dcc9f1086c654.256p.jpg,https://pcpartpicker.com/product/NMFKHx/seagate-barracuda-510-250-gb-m2-2280-nvme-solid-state-drive-zp250cm3a001,NVME,250
storage,PNY CS900 250 GB M.2-2280 SATA Solid State Drive (M280CS900-250-RB),https://cdna.pcpartpicker.com/static/forever/images/product/85b08ac704742d9f1a680568b7c66230.256p.jpg,https://pcpartpicker.com/product/bmt9TW/pny-cs900-250-gb-m2-2280-solid-state-drive-m280cs900-250-rb,NVME,250
storage,Silicon Power UD90 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SP250GBP44UD9005),https://cdna.pcpartpicker.com/static/forever/images/product/8d50b72c86e4d5376f8d6b4483cf52e9.256p.jpg,https://pcpartpicker.com/product/ZdZ9TW/silicon-power-ud90-250-gb-m2-2280-nvme-solid-state-drive-sp250gbp44ud9005,NVME,250
storage,Silicon Power UD80 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (SP250GBP34UD8005),https://cdna.pcpartpicker.com/static/forever/images/product/d93afe0fccafa314a183073397cd9557.256p.jpg,https://pcpartpicker.com/product/nqjBD3/silicon-power-ud80-250-gb-m2-2280-nvme-solid-state-drive-sp250gbp34ud8005,NVME,250
storage,SanDisk Ultra 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (SDSSDH3N-250G-G25),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/kn8bt6/sandisk-ultra-250-gb-m2-2280-nvme-solid-state-drive-sdssdh3n-250g-g25,NVME,250
storage,Mushkin Helix-L 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MKNSSDHL250GB-D8),https://cdna.pcpartpicker.com/static/forever/images/product/7d8d0e5da3832154fe44ed96ca63d0b3.256p.jpg,https://pcpartpicker.com/product/TRfhP6/mushkin-enhanced-helix-l-250-gb-m2-2280-solid-state-drive-mknssdhl250gb-d8,NVME,250
storage,Crucial MX200 250 GB M.2-2280 SATA Solid State Drive (CT250MX200SSD4),https://images-na.ssl-images-amazon.com/images/I/41o5AH4aGQL.jpg,https://pcpartpicker.com/product/HP648d/crucial-internal-hard-drive-ct250mx200ssd4,NVME,250
storage,MSI SPATIUM M460 HS 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SPATIUM-M460-HS-250GB),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/w7rRsY/msi-spatium-m460-hs-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m460-hs-250gb,NVME,250
storage,VisionTek PRO2 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (901172),https://cdna.pcpartpicker.com/static/forever/images/product/f4108a89175b45d38526cdefe3212a22.256p.jpg,https://pcpartpicker.com/product/YZprxr/visiontek-pro2-250-gb-m2-2280-nvme-solid-state-drive-901172,NVME,250
storage,ADATA Legend 740 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (ALEG-740-250GCS),https://cdna.pcpartpicker.com/static/forever/images/product/9b9976e414df369708f0abe6844b73fa.256p.jpg,https://pcpartpicker.com/product/BrKKHx/adata-legend-740-250-gb-m2-2280-nvme-solid-state-drive-aleg-740-250gcs,NVME,250
storage,Mushkin Pilot-E 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MKNSSDPE250GB-D8),https://cdna.pcpartpicker.com/static/forever/images/product/e16c1031c858a6a54444936b413924d6.256p.jpg,https://pcpartpicker.com/product/ZFzFf7/mushkin-enhanced-pilot-e-250-gb-m2-2280-nvme-solid-state-drive-mknssdpe250gb-d8,NVME,250
storage,Mushkin PILOT 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MKNSSDPL250GB-D8),https://m.media-amazon.com/images/I/4116zQRMQBL.jpg,https://pcpartpicker.com/product/twF48d/mushkin-pilot-250gb-m2-2280-solid-state-drive-mknssdpl250gb-d8,NVME,250
storage,Western Digital Blue SN580 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (WDS250G3B0E),https://cdna.pcpartpicker.com/static/forever/images/product/dfbfd7d2c8c2858791c271c8253f64e1.256p.jpg,https://pcpartpicker.com/product/xx26Mp/western-digital-blue-sn580-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-wds250g3b0e,NVME,250
storage,MSI SPATIUM M460 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SPATIUM-M460-250GB),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/Mwt9TW/msi-spatium-m460-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-spatium-m460-250gb,NVME,250
storage,Mushkin Atlas Vital 250 GB M.2-2280 SATA Solid State Drive (MKNSSDAV250GB-D8),https://m.media-amazon.com/images/I/41DVF8HVx+L.jpg,https://pcpartpicker.com/product/k8M323/mushkin-internal-hard-drive-mknssdav250gbd8,NVME,250
storage,V7 S6000 250 GB M.2-2280 SATA Solid State Drive (V7S6000M2-250),https://cdna.pcpartpicker.com/static/forever/images/product/f12a4787a73ff31f0649becf8eb066f6.256p.jpg,https://pcpartpicker.com/product/mHTp99/v7-s6000-250-gb-m2-2280-sata-solid-state-drive-v7s6000m2-250,NVME,250
storage,ADATA LEGEND 700 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (ALEG-700-250GCS),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/dKYmP6/adata-legend-700-250-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-aleg-700-250gcs,NVME,250
storage,VisionTek PRO 250 GB M.2-2280 SATA Solid State Drive (901185),https://cdna.pcpartpicker.com/static/forever/images/product/20e9f880e9d4fb446b94656f2ecd7a7b.256p.jpg,https://pcpartpicker.com/product/x6KcCJ/visiontek-pro-250gb-m2-2280-solid-state-drive-901185,NVME,250
storage,Gigabyte Gen3 2500E 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (G325E500G),https://cdna.pcpartpicker.com/static/forever/images/product/149b1f5a97a72308596886f1c6e174b1.256p.jpg,https://pcpartpicker.com/product/GsRYcf/gigabyte-gen3-2500e-500-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-g325e500g,NVME,250
storage,Samsung 970 Evo Plus 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V7S500B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/25a1bf52562913032cce0b7a71b9e323.256p.jpg,https://pcpartpicker.com/product/TwWfrH/samsung-970-evo-plus-500-gb-m2-2280-nvme-solid-state-drive-mz-v7s500bam,NVME,500
