name,rating,price,amazon_link,image_link,tdp,socket,supported_memory,core_count,thread_count,performance_core_clock,boost_clock,cache,lithography,generation
Intel Core i7-9700K 3.6 GHz 8-Core OEM/Tray Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/fec30788a4d41b1c00c195dc6dffb4e9.256p.jpg,95,LGA 1151,DDR4,8,8,3.6,4.9,12,14,Intel Coffee Lake Refresh
Intel Core i9-9920X 3.5 GHz 12-Core OEM/Tray Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/63744c51aa31fb8f5367476e5ae565d3.256p.jpg,165,LGA 2066,DDR4,12,24,3.5,4.4,19.25,14,Intel Skylake
Intel Core i9-10850K 3.6 GHz 10-Core OEM/Tray Processor,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6210f253ebf4ad4b63b05212c1118613.256p.jpg,125,LGA 1200,DDR4,10,20,3.6,5.2,20,14,Intel Comet Lake
Intel Core i3-13100T 2.5 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,35,LGA 1700,DDR4,4,8,2.5,4.2,12,10,Intel Raptor Lake
AMD Athlon II X2 245 2.9 GHz Dual-Core OEM/Tray Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/a4c53d2bd4a21902db8d56a6b15639db.256p.jpg,65,AM3,DDR4,2,2,2.9,N/A,0,45,AMD K10
AMD Athlon II X4 638 2.7 GHz Quad-Core Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,65,FM1,DDR4,4,4,2.7,N/A,0,32,AMD Lynx
AMD Threadripper 2990WX 3 GHz 32-Core Processor,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/376290bb9aa6669a3393dc8c0d266e5b.256p.jpg,250,sTR4,DDR4,32,64,3,4.2,64,12,AMD Zen+
AMD Ryzen 5 3400G 3.7 GHz Quad-Core Processor,4.9,97.95,https://www.amazon.com/dp/B07SXNDKNM?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/43e2914b40ccb9ab7ce39eb656db3b44.256p.jpg,65,AM4,DDR4,4,8,3.7,4.2,4,12,AMD Zen+
Intel Core i5-7600 3.5 GHz Quad-Core Processor,4.7,82.5,https://www.amazon.com/dp/B01MYTYSMK?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/0c2441d24af10b2aff285308b4e32d03.256p.jpg,65,LGA 1151,DDR4,4,4,3.5,4.1,6,14,Intel Kaby Lake
Intel Core i9-7900X 3.3 GHz 10-Core Processor,4.9,325.0,https://www.amazon.com/dp/B072KTSCCS?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/934aeb46f8ae9d26bed3d673b7c635c9.256p.jpg,140,LGA 2066,DDR4,10,20,3.3,4.5,13.75,14,Intel Skylake
Intel Core i7-8700T 2.4 GHz 6-Core OEM/Tray Processor,N/A,199.0,https://www.amazon.com/dp/B079FZXFXQ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/419bs0UMD0L.jpg,35,LGA 1151,DDR4,6,12,2.4,4,12,14,Intel Coffee Lake
Intel Core i5-9600 3.1 GHz 6-Core OEM/Tray Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/f4137a480bf61e69b6d83e150a0afb01.256p.jpg,65,LGA 1151,DDR4,6,6,3.1,4.6,9,14,Intel Coffee Lake Refresh
Intel Core i9-10900 2.8 GHz 10-Core Processor,4.7,448.99,https://www.amazon.com/dp/B086ML4XSD?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/2c0e54afceb3b128eef552ffa7b488ee.256p.jpg,65,LGA 1200,DDR4,10,20,2.8,5.2,20,14,Intel Comet Lake
Intel Core i3-13100F 3.4 GHz Quad-Core Processor,4.7,79.0,https://www.bhphotovideo.com/c/product/1735189-REG/intel_bx8071513100f_core_i3_13100f_3_4_ghz.html/BI/19488/KBID/11704,https://cdna.pcpartpicker.com/static/forever/images/product/735d84f17256242adcfad88d56d590bf.256p.jpg,58,LGA 1700,DDR4,4,8,3.4,4.5,12,10,Intel Raptor Lake
AMD Phenom II X4 910 2.6 GHz Quad-Core Processor,4.0,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,95,AM3,DDR4,4,4,2.6,N/A,6,45,AMD K10
AMD Threadripper 1920X 3.5 GHz 12-Core Processor,4.9,235.0,https://www.amazon.com/dp/B074CBJHCT?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/dfb011931e97f85c79165ed9e97aec59.256p.jpg,180,sTR4,DDR4,12,24,3.5,4,32,14,AMD Zen
AMD Ryzen 5 3500 3.6 GHz 6-Core Processor,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7f766d0fb14c24f0cd101da14ec6d0a0.256p.jpg,65,AM4,DDR4,6,6,3.6,4.1,32,7,AMD Zen 2
Intel Core i5-7600T 2.8 GHz Quad-Core Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/af30c4076a25b69d6f721172010cc0ec.256p.jpg,35,LGA 1151,DDR4,4,4,2.8,3.7,6,14,Intel Kaby Lake
Intel Core i3-8300T 3.2 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/67d6c57eae5170d56282ab69bf97d70b.256p.jpg,35,LGA 1151,DDR4,4,4,3.2,N/A,8,14,Intel Coffee Lake
Intel Core i7-975 Extreme Edition 3.33 GHz Quad-Core Processor,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/3365e8f40d1a425178189ad44d5049ca.256p.jpg,130,LGA 1366,DDR4,4,8,3.33,N/A,8,45,Intel Nehalem
Intel Core i5-10400 2.9 GHz 6-Core Processor,4.8,123.5,https://www.amazon.com/dp/B086MN38Q2?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/e5d8c71ba7c15404b87a7fcdf7251281.256p.jpg,65,LGA 1200,DDR4,6,12,2.9,4.3,12,14,Intel Comet Lake
Intel Core i3-12100 3.3 GHz Quad-Core Processor,4.7,115.9,https://www.amazon.com/dp/B09NPHJLPT?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c67d8f42c0e57b268f068172e9a3f571.256p.jpg,60,LGA 1700,DDR4,4,8,3.3,4.3,12,10,Intel Alder Lake
AMD Athlon II X2 250 3 GHz Dual-Core Processor,4.0,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/31tAz9quhnL.jpg,65,AM3,DDR4,2,2,3,N/A,0,45,AMD K10
