name,rating,price,shop_url,image_url,tdp,type,clock
ADATA XPG SPECTRIX D50 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,5.0,52.9,https://www.amazon.com/dp/B092G5Y6QP?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/cf2342d4b65626a38d05349ec71c82df.256p.jpg,2,DDR4,3200
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL16 Memory,4.9,78.9,https://www.amazon.com/dp/B09DNPVR64?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/3e57f6f6fea599e8e36488d325102044.256p.jpg,2,DDR4,3600
TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,4.9,30.9,https://www.amazon.com/dp/B07T62Y4YN?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/96753a64597c28e46bf80ef7064b214b.256p.jpg,2,DDR4,3200
Silicon Power XPOWER Turbine RGB 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,4.5,35.9,https://www.amazon.com/dp/B07R51H1F8?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/4006eff86a0df7cca9e6ee1018321621.256p.jpg,2,DDR4,3200
G.Skill Aegis 32 GB (2 x 16 GB) DDR4-2400 CL17 Memory,4.0,49.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fg-skill-32gb-ddr4-2400%2Fp%2FN82E16820232624,https://cdna.pcpartpicker.com/static/forever/images/product/3d982773833e1f43c65c3ef8110e87ca.256p.jpg,2,DDR4,2400
G.Skill Aegis 32 GB (2 x 16 GB) DDR4-3000 CL16 Memory,4.7,52.9,https://www.amazon.com/dp/B07CGW9QYC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/bf642d2af83428f1f3bf198fc2f04f77.256p.jpg,2,DDR4,3000
Neo Forza FAYE 32 GB (2 x 16 GB) DDR4-4000 CL19 Memory,5.0,0.0,unknown,https://m.media-amazon.com/images/I/41LF9MU7yBL.jpg,2,DDR4,4000
TEAMGROUP T-Force Vulcan TUF Gaming Alliance 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory,4.9,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/b880042150d9c941a0528e7c244af4e6.256p.jpg,2,DDR4,3200
G.Skill Trident Z Royal 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory,4.5,85.9,https://www.amazon.com/dp/B07N7SBSF4?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/a8ee4e88d64531f87c8b900443c175f7.256p.jpg,2,DDR4,3200
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/11742fd6eec55fde4e3ee3a79529a111.256p.jpg,2,DDR4,3600
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 CL16 Memory,4.9,36.9,https://www.amazon.com/dp/B07B4G525F?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/e4bd808b09151a16fbdec0dbf447373a.256p.jpg,2,DDR4,3000
