name,rating,price,amazon_link,image_link,tdp,socket,chipset,ram_type,ram_max_speed,ram_slot,ram_max,pcie_x16_slot,pcie_x1_slot,m2_slot,sata_slot,lan,wifi,form_factor
Gigabyte B560M AORUS ELITE Micro ATX LGA1200 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/423fb6fe78af4acffee5d96a0407ae06.256p.jpg,80,LGA 1200,Intel B560,DDR4,0,4,128,2,1,2,6,1x 2.5GB/s,No,Micro-ATX
ASRock H410M-HDV/M.2 Micro ATX LGA1200 Motherboard,5.0,N/A,N/A,https://m.media-amazon.com/images/I/61d8E1EtmYL.jpg,80,LGA 1200,Intel H410,DDR4,0,2,64,1,1,1,4,1x 1GB/s,No,Micro-ATX
Asus TUF GAMING B460M-PLUS Micro ATX LGA1200 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c053d6da37d85215460196e9d5b47129.256p.jpg,80,LGA 1200,Intel B460,DDR4,0,4,128,2,1,2,6,1x 1GB/s,No,Micro-ATX
ASRock Z490 Pro4 ATX LGA1200 Motherboard,2.5,356.4,https://www.amazon.com/dp/B087TD675B?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/24cc66652169bc811f7a8e3cd5a0c5c2.256p.jpg,80,LGA 1200,Intel Z490,DDR4,0,4,128,2,3,2,6,1x 1GB/s,No,ATX
Asus PRO Q570M-C/CSM Micro ATX LGA1200 Motherboard,N/A,164.9,https://www.amazon.com/dp/B09322DLZS?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/0e2ee20fe8f5790f312185515729937e.256p.jpg,80,LGA 1200,Intel Q570,DDR4,0,4,128,1,2,2,6,1x 1GB/s,No,Micro-ATX
Gigabyte H410M SH2 V2 Micro ATX LGA1200 Motherboard,N/A,N/A,N/A,https://static/forever/img/no-image.png,80,LGA 1200,Intel H470,DDR4,0,2,64,1,2,1,4,1x 1GB/s,No,Micro-ATX
Supermicro C9Z490-PGW ATX LGA1200 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/d57e99a4912902ffb5a879d9a22e7832.256p.jpg,80,LGA 1200,Intel Z490,DDR4,0,4,128,4,1,2,N/A,1x 1GB/s + 1x 10GB/s,Wi-Fi 6,ATX
Biostar Z490GTA EVO ATX LGA1200 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/7db33f86a1b11732c54eebb056641168.256p.jpg,80,LGA 1200,Intel Z490,DDR4,0,4,128,2,3,2,6,1x 1GB/s,No,ATX
Biostar B460GTA ATX LGA1200 Motherboard,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/e62ed9c05597fe2c2c7cff1835f4c43f.256p.jpg,80,LGA 1200,Intel B460,DDR4,0,4,128,2,3,2,6,1x 1GB/s,No,ATX
Asus ROG STRIX Z590-I GAMING WIFI Mini ITX LGA1200 Motherboard,4.5,609.0,https://www.amazon.com/dp/B08VL2GRS9?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/eab5fc15cc9e87e6fd34515796ab8bd0.256p.jpg,80,LGA 1200,Intel Z590,DDR4,0,2,64,1,0,2,4,1x 2.5GB/s,Wi-Fi 6,Mini-ITX
