name,rating,price,shop_url,image_url,type,efficiency,wattage,lenght
EVGA 750 BP 750 W 80+ Bronze Certified ATX Power Supply,0.0,62.9,https://api.bestbuy.com/click/-/6505301/pdp?IPID=79301,https://cdna.pcpartpicker.com/static/forever/images/product/e95926619756cae8b7ce75ac0ca89961.256p.jpg,Non Modular,80+ Bronze,750,120.0
Cooler Master MWE Gold 750 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.8,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/14006f097772a18096431e1627300499.256p.jpg,Fully Modular,80+ Gold,750,140.0
NOX Hummer GD 750 W 80+ Gold Certified ATX Power Supply,0.0,0.0,unknown,https://m.media-amazon.com/images/I/4164Y8LDFnL.jpg,Non Modular,80+ Gold,750,140.0
Thermaltake Toughpower iRGB PLUS 750 750 W 80+ Gold Certified Fully Modular ATX Power Supply,3.0,129.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fthermaltake-toughpower-irgb-plus-750w-gold-tt-premium-edition-ps-tpi-0750f3fdga-1%2Fp%2FN82E16817153399%3Fitem%3D9SIA8EFF1R6201,https://cdna.pcpartpicker.com/static/forever/images/product/36c3f2162cb7c105b5aceb9d291a4ccc.256p.jpg,Fully Modular,80+ Gold,750,160.0
XFX XTR 750 W 80+ Gold Certified Fully Modular ATX Power Supply,4.9,0.0,unknown,https://m.media-amazon.com/images/I/41c7TcqKJqL.jpg,Fully Modular,80+ Gold,750,0.0
Fractal Design Integra M 750 W 80+ Bronze Certified Semi-modular ATX Power Supply,3.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/61da99297b0560296b459072083c922b.256p.jpg,Semi Modular,80+ Bronze,750,140.0
Super Flower Leadex Platinum 750 W 80+ Platinum Certified Fully Modular ATX Power Supply,5.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/d5fdd126efadaa70ee8458fb4245fd2a.256p.jpg,Fully Modular,80+ Platinum,750,165.0
Kingwin Lazer 750 W 80+ Certified Fully Modular ATX Power Supply,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/6d8883829ec4334a824d3e3eb0181050.256p.jpg,Fully Modular,80+,750,165.0
Corsair GS800 800 W 80+ Bronze Certified ATX Power Supply,4.6,0.0,unknown,https://m.media-amazon.com/images/I/51NyUsZsD6L.jpg,Non Modular,80+ Bronze,800,160.0
Thermaltake Toughpower GF1 PE 850 W 80+ Gold Certified Fully Modular ATX Power Supply,4.7,106.94,https://www.amazon.com/dp/B07PZR9JLT?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/134c2df91872591a7ab32387f3aa5a1b.256p.jpg,Fully Modular,80+ Gold,850,160.0
