name,rating,price,amazon_link,image_link,tdp,pcie_gen,capacity,speed_read,speed_write
Patriot Viper Gaming VP4100 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/df2a9414e4aec43c938df3a37b8f78b0.256p.jpg,10,4x4,1 TB,N/A,N/A
Pioneer APS-SE20G-1T 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,108.23,https://www.amazon.com/dp/B07P5QFRP2?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/41fwnE4+h1L.jpg,10,3x4,1 TB,N/A,N/A
ADATA ATOM 50 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://m.media-amazon.com/images/I/31PXN8l-AdL.jpg,10,4x4,1 TB,N/A,N/A
Patriot VPR100 RGB 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,N/A,N/A,https://m.media-amazon.com/images/I/41Ioh8W+m6L.jpg,10,3x4,1 TB,N/A,N/A
Timetec 35TTM8SSATA 1 TB M.2-2280 SATA Solid State Drive,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,10,N/A,1 TB,N/A,N/A
KIOXIA BG5 1 TB M.2-2230 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/32e4e803cd74b2f5971c3d004ff1ab4d.256p.jpg,10,4x4,1 TB,N/A,N/A
Apacer AS2280Q4 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/03f08a8d847342d8847df90f63742f6a.256p.jpg,10,4x4,2 TB,N/A,N/A
Enmotus FuzeDrive 1.55 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://m.media-amazon.com/images/I/41cF7WSOARL.jpg,10,3x4,1.55 TB,N/A,N/A
Samsung 980 Pro w/Heatsink 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.9,148.0,https://www.amazon.com/dp/B09JHKSNNG?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/117a93ff22c8f38b2bfb8ff00b0b4d78.256p.jpg,10,4x4,2 TB,4929,2237
SK Hynix Platinum P41 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,134.9,https://www.amazon.com/dp/B09QVD9V7R?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/31TAUSyRkcL.jpg,10,4x4,2 TB,5599,3055
