name,rating,price,amazon_link,image_link,tdp,memory,effective memory clock,core clock,boost clock,length,case expansion slot width,external power
MSI VENTUS 3X PLUS OC GeForce RTX 3080 10GB LHR 10 GB Video Card,5.0,721.41,https://www.amazon.com/dp/B09FSWGS7L?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/b4c1da032bd8b99e3c828a9f2726b264.256p.jpg,320,10GB GDDR6X,19000,1440,1740,305,2,2x 8-pin
Gigabyte AORUS XTREME WATERFORCE GeForce RTX 3080 10GB 10 GB Video Card,5.0,1879.0,https://www.amazon.com/dp/B083GSKZSW?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/2c9982da3107309fa1bc97347b797591.256p.jpg,320,10GB GDDR6X,19000,1440,1845,252,2,2x 8-pin
Inno3D X3 OC GeForce RTX 3080 10GB LHR 10 GB Video Card,N/A,N/A,N/A,https://m.media-amazon.com/images/I/31CGZDzq1xL.jpg,320,10GB GDDR6X,19000,1440,1725,300,2,2x 8-pin
MSI SUPRIM X GeForce RTX 3080 Ti 12 GB Video Card,4.5,N/A,N/A,https://m.media-amazon.com/images/I/51Uu56c3rSS.jpg,400,12GB GDDR6X,19000,1365,1845,336,2,3x 8-pin
MSI VENTUS 3X PLUS GeForce RTX 3080 12GB LHR 12 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/23bf667dbb8affead918141f26a7256c.256p.jpg,350,12GB GDDR6X,N/A,1260,1710,305,2,2x 8-pin
MSI GeForce RTX 3090 GAMING X TRIO 24G GeForce RTX 3090 24 GB Video Card,4.8,1099.9,https://msi.pxf.io/c/79301/1986809/23099?prodsku=533&u=https%3A%2F%2Fus-store.msi.com%2FGraphics-Cards%2FNVIDIA-GPU%2FGeForce-RTX-30-Series%2FGeForce-RTX-3090-Gaming-X-Trio-24G&intsrc=CATF_16410,https://cdna.pcpartpicker.com/static/forever/images/product/040a47c05260e04543aa712b56c462de.256p.jpg,350,24GB GDDR6X,N/A,1395,N/A,335,2,3x 8-pin
Gigabyte AORUS MASTER GeForce RTX 3090 24 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/143e696ff6d08f49eeefc25aeac25f04.256p.jpg,350,24GB GDDR6X,19500,1395,1785,319,2,2x 8-pin
NVIDIA Founders Edition GeForce RTX 4080 16 GB Video Card,4.6,949.99,https://api.bestbuy.com/click/-/6521431/pdp?IPID=79301,https://m.media-amazon.com/images/I/414goNzSLaL.jpg,320,16GB GDDR6X,N/A,2210,2510,304,3,1x 16-pin
KFA2 SG (1-Click OC) GeForce RTX 4080 16 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/6e06e0e9b63df7a0a15409a1976c92a3.256p.jpg,320,16GB GDDR6X,22400,2205,2580,352,4,1x 16-pin
PNY XLR8 Gaming VERTO EPIC-X RGB GeForce RTX 4090 24 GB Video Card,4.8,1669.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fpny-geforce-rtx-4090-vcg409024tfxxpb1%2Fp%2FN82E16814133841,https://cdna.pcpartpicker.com/static/forever/images/product/fa955f05ffecdfd0aaf4aeb8a11ccc80.256p.jpg,450,24GB GDDR6X,N/A,2230,2520,332,3,1x 16-pin
Sapphire PULSE Radeon RX 6500 XT 4 GB Video Card,5.0,219.33,https://www.amazon.com/dp/B09PZJ2JNZ?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/31LqqK-v6nL.jpg,130,4GB GDDR6,18000,2310,2825,194,2,1x 6-pin
MSI Radeon RX 5500 XT GAMING 4G Radeon RX 5500 XT 4 GB Video Card,N/A,N/A,N/A,https://static/forever/img/no-image.png,140,4GB GDDR6,14000,1647,1845,247,2,1x 8-pin
MSI GAMING X Radeon RX 5600 XT 6 GB Video Card,4.6,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/43c82c4eced4b715ab4826414507a7e0.256p.jpg,150,6GB GDDR6,12000,1235,1620,297,2,2x 8-pin
XFX Speedster QICK 308 Black Radeon RX 6600 XT 8 GB Video Card,5.0,630.7,https://www.amazon.com/dp/B09B46MZ3T?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/15000ca8684fd21b7e39ce2310d5ef45.256p.jpg,160,8GB GDDR6,16000,2188,2607,274,2,1x 8-pin
XFX Speedster QICK 308 ULTRA Radeon RX 6650 XT 8 GB Video Card,5.0,N/A,N/A,https://m.media-amazon.com/images/I/31m3R3Wp7eL.jpg,180,8GB GDDR6,N/A,2055,2689,274,2,1x 8-pin
Asus ROG STRIX Radeon RX 580 8 GB Video Card,4.8,394.99,https://www.amazon.com/dp/B071D8YQJD?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/df222de96a42c41cafb6c9a9d54cba45.256p.jpg,185,8GB GDDR5,8000,1257,1380,298,2,1x 8-pin
